pack,rpt,charge,date,session_id,source_file,status,sample_count,sample_interval_s,duration_s,duration_min,cell_count,start_voltage_V,end_voltage_V,voltage_gain_V,max_voltage_V,start_current_A,end_current_A,mean_current_A,max_current_A,mean_power_W,max_power_W,charged_capacity_Ah,integrated_capacity_Ah,energy_Wh,integrated_energy_Wh,time_to_80pct_min,time_to_90pct_min,time_to_95pct_min,cv_start_min,cv_duration_min,start_temperature_C,end_temperature_C,max_temperature_C,temperature_rise_C,start_cell_imbalance_mV,end_cell_imbalance_mV,mean_cell_imbalance_mV,p95_cell_imbalance_mV,max_cell_imbalance_mV,imbalance_over_50mV_pct,charger_max_balance_mV,taper_current_threshold_A,taper_current_reached
PB,0,1,2026-08-18,PB_0_CH_1,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_1.csv,ok,1971,1,1970,32.833333,4,14.099,16.852,2.753,16.852,1.968,0.98,6.3417905,9.828,103.02343,164.727,3.472,3.4717208,56.397,56.399179,18.816667,23.6,26.883333,13.15,19.683333,32,35,40,3,7,0,4.0740741,14,25,0,25,1,True
PB,0,2,2026-08-18,PB_0_CH_2,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_2 .csv,ok,1965,1,1964,32.733333,4,14.118,16.864,2.746,16.864,0.002,0.963,6.2836473,9.828,102.11453,164.701,3.431,3.4296901,55.737,55.735253,18.5,23.183333,26.483333,13.1,19.633333,35,36,40,1,7,2,5.3852417,16,85,0.050890585,85,1,True
PB,0,3,2026-08-18,PB_0_CH_3,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_3 .csv,ok,2013,1,2012,33.533333,4,14.07,16.868,2.798,16.868,0.93,0.983,6.2217139,9.829,100.97743,164.783,3.479,3.4787093,56.459,56.459095,18.783333,23.616667,26.966667,13.333333,20.2,35,37,40,2,10,0,4.119225,12,82,0.049677099,82,1,True
PB,0,4,2026-08-18,PB_0_CH_4,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_4 .csv,ok,2607,1,2606,43.433333,4,14.083,17.033,2.95,17.033,1.969,0.243,4.8289007,9.824,78.44418,164.564,3.497,3.4966217,56.799,56.802234,19.116667,24.2,28.1,13.166667,30.266667,34,35,40,1,9,2,4.6118143,10,90,0.1150748,90,1,True
PB,0,5,2026-08-18,PB_0_CH_5,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_5 .csv,ok,2106,1,2105,35.083333,4,14.11,16.847,2.737,16.847,0.001,0.789,5.860679,9.835,95.250388,164.824,3.429,3.4283875,55.721,55.719629,18.716667,23.633333,27.133333,12.933333,22.15,33,36,40,3,4,0,4.3936372,13,39,0,39,1,True
PB,0,6,2026-08-18,PB_0_CH_6,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_6 .csv,ok,2621,1,2620,43.666667,4,14.135,17.061,2.926,17.061,1.951,0.242,4.7295609,9.835,76.987228,164.589,3.444,3.4430785,56.043,56.046576,19.066667,24.2,28.25,12.75,30.916667,31,36,40,5,10,4,4.9317055,11,90,0.038153377,90,1,True
PB,0,7,2026-08-18,PB_0_CH_7,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_7 .csv,ok,1972,1,1971,32.85,4,14.132,16.863,2.731,16.863,1.968,0.959,6.1950122,9.828,100.70434,164.677,3.394,3.3930835,55.156,55.157492,18.45,23.183333,26.5,12.85,20,35,38,40,3,5,2,4.4716024,13,87,0.050709939,87,1,True
PB,0,8,2026-08-18,PB_0_CH_8,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_8 .csv,ok,2001,1,2000,33.333333,4,14.121,16.87,2.749,16.87,1.969,0.965,6.1306442,9.827,99.836587,164.7,3.408,3.4072089,55.485,55.48638,18.666667,23.566667,26.933333,12.733333,20.6,34,36,40,2,10,4,4.2943528,14,57,0.049975012,57,1,True
PB,0,9,2026-08-18,PB_0_CH_9,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_9.csv,ok,1972,1,1971,32.85,4,14.121,16.87,2.749,16.87,0.003,0.973,6.1796628,9.834,100.47787,164.701,3.386,3.3849464,55.039,55.037258,18.383333,23.116667,26.366667,12.833333,20.016667,34,35,40,1,7,0,3.5684584,11,57,0.050709939,57,1,True
PB,1,1,2026-08-20,PB_1_CH_1,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_1.csv,ok,2808,1,2807,46.783333,4,14.108,17.069,2.961,17.069,1.966,0.24,4.5777564,9.835,74.624955,164.775,3.571,3.5703436,58.2,58.203044,19.933333,25.633333,30.383333,13.15,33.633333,31,38,40,7,7,6,10.569801,36,96,0.53418803,96,1,True
PB,1,2,2026-08-20,PB_1_CH_2,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_2 .csv,ok,2916,1,2915,48.583333,4,14.114,16.863,2.749,16.863,1.964,0.239,4.4287658,9.81,72.24341,164.494,3.588,3.5869943,58.509,58.512752,20.366667,26.45,31.483333,12.883333,35.7,35,36,40,1,16,5,13.041495,42,89,3.2921811,89,1,True
PB,1,3,2026-08-20,PB_1_CH_3,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_3 .csv,ok,2825,1,2824,47.066667,4,14.169,16.856,2.687,16.856,1.962,0.244,4.4277862,9.828,72.236386,164.686,3.476,3.4742758,56.678,56.681065,19.716667,25.633333,30.633333,12.483333,34.583333,29,35,40,6,15,2,11.39292,40,91,0.88495575,91,1,True
