pack,rpt,charge,date,session_id,source_file,status,detail
PB,0,1,2026-08-18,PB_0_CH_1,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_1.csv,ok,
PB,0,2,2026-08-18,PB_0_CH_2,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_2 .csv,ok,
PB,0,3,2026-08-18,PB_0_CH_3,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_3 .csv,ok,
PB,0,4,2026-08-18,PB_0_CH_4,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_4 .csv,ok,
PB,0,5,2026-08-18,PB_0_CH_5,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_5 .csv,ok,
PB,0,6,2026-08-18,PB_0_CH_6,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_6 .csv,ok,
PB,0,7,2026-08-18,PB_0_CH_7,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_7 .csv,ok,
PB,0,8,2026-08-18,PB_0_CH_8,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_8 .csv,ok,
PB,0,9,2026-08-18,PB_0_CH_9,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_0/2026-08-18_PB_0_CH_9.csv,ok,
PB,1,1,2026-08-20,PB_1_CH_1,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_1.csv,ok,
PB,1,2,2026-08-20,PB_1_CH_2,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_2 .csv,ok,
PB,1,3,2026-08-20,PB_1_CH_3,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_3 .csv,ok,
PB,1,4,2026-08-20,PB_1_CH_4,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_4.csv,ok,
PB,1,5,2026-08-20,PB_1_CH_5,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_5 .csv,ok,
PB,1,6,2026-08-20,PB_1_CH_6,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-20_PB_1_CH_6 .csv,ok,
PB,1,7,2026-08-21,PB_1_CH_7,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-21_PB_1_CH_7 .csv,ok,
PB,1,8,2026-08-21,PB_1_CH_8,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-21_PB_1_CH_8.csv,ok,
PB,1,9,2026-08-21,PB_1_CH_9,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_1/2026-08-21_PB_1_CH_9.csv,ok,
PB,2,1,2026-08-24,PB_2_CH_1,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_2/2026-08-24_PB_2_CH_1 .csv,ok,
PB,2,2,2026-08-24,PB_2_CH_2,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_2/2026-08-24_PB_2_CH_2 .csv,ok,
PB,2,3,2026-08-24,PB_2_CH_3,/Users/dh/Documents/DBD_26/Dataset/PB/충전로그/PB_2/2026-08-24_PB_2_CH_3 .csv,ok,
