pack,rpt,motion,flight,timestamp,flight_id,source_dir,status,active_mode,settle_seconds,raw_sample_count,analysis_sample_count,total_log_duration_s,active_duration_s,sample_rate_Hz,attitude_rmse_x_rad,attitude_mae_x_rad,attitude_max_abs_x_rad,attitude_rmse_y_rad,attitude_mae_y_rad,attitude_max_abs_y_rad,attitude_rmse_z_rad,attitude_mae_z_rad,attitude_max_abs_z_rad,attitude_rmse_norm,position_rmse_x_m,position_mae_x_m,position_max_abs_x_m,position_rmse_y_m,position_mae_y_m,position_max_abs_y_m,position_rmse_z_m,position_mae_z_m,position_max_abs_z_m,position_rmse_norm,omega_rmse_x_rad_s,omega_mae_x_rad_s,omega_max_abs_x_rad_s,omega_rmse_y_rad_s,omega_mae_y_rad_s,omega_max_abs_y_rad_s,omega_rmse_z_rad_s,omega_mae_z_rad_s,omega_max_abs_z_rad_s,omega_rmse_norm,velocity_rmse_x_m_s,velocity_mae_x_m_s,velocity_max_abs_x_m_s,velocity_rmse_y_m_s,velocity_mae_y_m_s,velocity_max_abs_y_m_s,velocity_rmse_z_m_s,velocity_mae_z_m_s,velocity_max_abs_z_m_s,velocity_rmse_norm,acceleration_rmse_x_m_s2,acceleration_mae_x_m_s2,acceleration_max_abs_x_m_s2,acceleration_rmse_y_m_s2,acceleration_mae_y_m_s2,acceleration_max_abs_y_m_s2,acceleration_rmse_z_m_s2,acceleration_mae_z_m_s2,acceleration_max_abs_z_m_s2,acceleration_rmse_norm,imu_acc_mean_x_m_s2,imu_acc_std_x_m_s2,imu_acc_rms_x_m_s2,imu_acc_max_abs_x_m_s2,imu_acc_mean_y_m_s2,imu_acc_std_y_m_s2,imu_acc_rms_y_m_s2,imu_acc_max_abs_y_m_s2,imu_acc_mean_z_m_s2,imu_acc_std_z_m_s2,imu_acc_rms_z_m_s2,imu_acc_max_abs_z_m_s2,imu_acc_magnitude_mean_m_s2,imu_acc_magnitude_max_m_s2,mean_speed_m_s,max_speed_m_s,distance_m,mean_cpu_usage_pct,mean_pwm,std_pwm,max_pwm,motor_imbalance_pwm,battery_sample_count,start_voltage_V,end_voltage_V,min_voltage_V,mean_voltage_V,voltage_drop_V,mean_current_A,max_current_A,mean_power_W,max_power_W,discharged_capacity_Ah,energy_Wh,consumed_Ah_sensor_delta,start_battery_temp_C,end_battery_temp_C,max_battery_temp_C,battery_temp_rise_C,mean_cell_imbalance_mV,max_cell_imbalance_mV
PB,1,V,1,2026-08-20 14:54:10,PB_1_V_1,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 14-54-10_PB_1_V_1,ok,3,3,254016,244038,1035.8387,989.74198,250.12506,0.034756845,0.026459713,0.219842,0.037331971,0.030178984,0.195401,0.008845504,0.0071556106,0.038428,0.051768304,0.028613719,0.023716079,0.100183,0.029004699,0.022468047,0.112409,0.13848002,0.11721431,0.379735,0.14434934,0.11778364,0.08926586,0.695518,0.11634233,0.09067945,0.596852,0.035494824,0.026953908,0.166249,0.16931747,0.0892062,0.072776462,0.334935,0.089911469,0.069090777,0.464853,0.3720005,0.32346268,0.973987,0.39297098,0.24575938,0.19428384,1.5887918,0.25950684,0.19298196,1.7513964,0.98207852,0.76160195,3.2431731,1.0450931,-0.19342959,0.19168581,0.2723205,1.197569,-0.082195673,0.13019987,0.15397446,0.888921,-9.6211266,2.7989114,10.019979,14.019448,9.6257093,14.023188,1.0947698,2.080715,1085.0395,25.854334,418.0866,78.542714,629,37.549619,9899,15.17,12.599999,12.37,14.226836,2.570001,14.440308,30.281002,203.42585,463.2993,3.9701296,55.928809,3.980474,29.050012,44.450006,45.749994,15.399994,35.571977,279
PB,1,V,2,2026-08-20 16:06:31,PB_1_V_2,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 16-06-31_PB_1_V_2,ok,3,3,261785,246717,1071.1467,1004.7749,250.12506,0.039603839,0.030307262,1.45702,0.049113555,0.040303878,0.180577,0.0090941677,0.0073941521,0.048876,0.063744091,0.044076861,0.03805142,0.136042,0.036346051,0.028766997,0.163557,0.13214601,0.1109721,0.365831,0.14396657,0.1231392,0.091613781,3.037494,0.13606005,0.1045789,0.637742,0.036200774,0.027799737,0.181852,0.18704571,0.13484167,0.11520594,0.437171,0.11624058,0.087491542,8.213001,0.35713049,0.30853077,0.979477,0.39904427,0.33683482,0.27484897,1.4465481,0.36459888,0.22719801,40.604557,0.9471085,0.7269713,3.310727,1.069301,-0.21540468,0.19538137,0.29081447,1.267696,-0.086477282,0.13205054,0.15784697,0.881272,-9.6146303,2.8038071,10.015111,14.38555,9.6197418,14.397565,1.1028594,8.2621477,1109.393,25.850762,414.74449,78.612156,635,45.173738,10048,15.389999,12.9,12.37,14.315974,2.489999,14.28022,30.438002,202.37613,463.87184,3.9853561,56.479584,3.985967,34.249994,44.650018,45.85,10.400024,40.176951,245
PB,1,V,3,2026-08-20 17:21:11,PB_1_V_3,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 17-21-11_PB_1_V_3,ok,3,3,247491,240390,1013.1,978.84035,250.12506,0.035264944,0.026810308,0.223544,0.055532192,0.046112337,0.245524,0.0097542313,0.0080283715,0.067755,0.066502524,0.046229122,0.040707926,0.118453,0.028519997,0.022172245,0.11747,0.13207611,0.11152094,0.361106,0.14280974,0.11614529,0.088204789,0.68283,0.15896143,0.11941869,0.803753,0.039000215,0.030152347,0.202239,0.20069749,0.1412294,0.12425271,0.416579,0.087995078,0.067631101,0.396609,0.35663684,0.30912607,0.928518,0.39354633,0.35393765,0.2898436,1.1527369,0.2544955,0.19070962,1.3817091,0.94590086,0.72942508,3.2009899,1.0415221,-0.2269626,0.21170524,0.31037256,1.247586,-0.096615066,0.1366987,0.16739476,0.901372,-9.6202083,2.7993902,10.019231,13.730591,9.6258912,13.731977,1.1035331,2.0816095,1079.787,25.840577,414.93746,79.018008,629,53.857012,9787,15.309999,12.49,12.48,14.329634,2.819999,14.644662,31.388002,207.8495,484.63075,3.9807826,56.499023,3.984192,34.550012,55.249994,57.749994,20.699982,39.881578,275
PB,1,V,4,2026-08-20 18:29:23,PB_1_V_4,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 18-29-23_PB_1_V_4,ok,3,3,245835,238360,1043.2338,1006.3474,250.12506,0.035665833,0.027496748,0.205637,0.043197372,0.034179792,0.24902,0.01078571,0.0087551997,0.055153,0.057047315,0.029148689,0.025160273,0.079555,0.028524465,0.022417684,0.110603,0.13180178,0.11061202,0.361762,0.13796739,0.1164786,0.089464752,0.739475,0.1348428,0.10266877,0.815972,0.042080909,0.032598266,0.170551,0.18308644,0.091269069,0.077502725,0.303228,0.088209838,0.068950398,0.4121,0.35510024,0.30713748,0.941977,0.3771037,0.2584346,0.20962562,1.0649464,0.25473973,0.19470288,1.5211441,0.95820851,0.74081384,3.1701081,1.0246191,-0.20206585,0.17785819,0.26919165,1.171774,-0.081858473,0.13185971,0.15520243,0.781571,-9.6512271,2.8051367,10.050621,13.658276,9.655742,13.661599,1.0932695,2.109685,1103.5338,25.843416,415.02032,79.411001,633,52.73019,10061,15.389999,12.96,12.44,14.311696,2.429999,14.240528,30.662001,201.84883,466.67562,3.9793796,56.404644,3.984235,35.35,57.450006,58.550012,22.100006,38.608289,254
PB,1,V,5,2026-08-20 20:12:52,PB_1_V_5,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 20-12-52_PB_1_V_5,ok,3,3,250849,244590,1026.7716,995.89583,250.12506,0.035722613,0.027317045,0.212069,0.05002775,0.039903552,0.27599,0.010288145,0.0082780213,0.049844,0.062327577,0.038344347,0.033353028,0.114208,0.027115347,0.021636138,0.118015,0.13372871,0.1132979,0.365682,0.14173531,0.11561832,0.088573623,0.659614,0.14769629,0.1116401,0.875107,0.039799587,0.030961177,0.160583,0.19174409,0.11833578,0.10110953,0.398251,0.084326029,0.066621449,0.394302,0.36087845,0.31394173,0.97049,0.38903405,0.30850958,0.2539648,1.1967275,0.24328903,0.18776097,1.446966,0.95623698,0.74154736,3.2236354,1.033807,-0.21032808,0.19107524,0.2841613,1.192688,-0.096851656,0.12871623,0.16108418,0.851803,-9.625684,2.7976446,10.024002,13.670885,9.6306741,13.674982,1.0977472,2.0722941,1093.8417,25.84609,415.99822,79.215702,637,52.710691,9957,15.309999,12.48,12.4,14.25115,2.829999,14.40153,30.408001,203.2742,473.14847,3.982674,56.214742,3.982405,27.249994,52.450006,54.950006,25.200012,36.317666,279
PB,1,V,6,2026-08-20 21:11:29,PB_1_V_6,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 21-11-29_PB_1_V_6,ok,3,3,267014,259271,1090.7365,1053.9151,250.12506,0.034462371,0.027066293,0.228997,0.031847161,0.025151057,0.229957,0.0097522447,0.0079272807,0.063815,0.047927059,0.022107017,0.017882435,0.089056,0.030197557,0.024075584,0.134644,0.13490874,0.11183711,0.384139,0.14000351,0.11191826,0.085694442,0.642175,0.1066807,0.082542633,0.709023,0.038147028,0.02943848,0.180219,0.15925346,0.070153844,0.055698713,0.323499,0.092652813,0.073674327,0.44408,0.36154815,0.3092061,1.008003,0.37976726,0.20771661,0.16161763,1.1820623,0.25251283,0.19569373,1.5473841,0.95825882,0.73663354,3.219756,1.0125062,-0.19427749,0.18743358,0.26995387,1.312413,-0.089236484,0.13500067,0.16182809,1.089854,-9.6165075,2.7926928,10.013808,13.856946,9.6211423,13.860616,1.0902908,2.0908611,1149.2066,25.838677,415.32737,79.209333,632,44.492323,10540,15.469999,13.04,12.15,14.26269,2.429999,13.580947,30.169001,191.81768,466.11107,3.976021,56.157331,3.982369,45.050012,63.550012,63.550012,18.5,47.837951,238
PB,1,V,7,2026-08-21 10:17:11,PB_1_V_7,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 10-17-11_PB_1_V_7,ok,3,3,251964,242640,1037.9351,994.6724,250.12506,0.048181604,0.037123928,0.289127,0.064678988,0.05257905,0.300469,0.011284952,0.0088483064,0.074031,0.08143825,0.053992075,0.046960764,0.151536,0.043427393,0.03384239,0.193485,0.13697014,0.11572202,0.364013,0.15349887,0.14598162,0.11104156,0.796034,0.18005372,0.13768543,0.944507,0.042117162,0.032329113,0.191474,0.23559251,0.1655901,0.14250741,0.538688,0.1319375,0.10298941,0.626386,0.3689635,0.32071938,1.14836,0.42539587,0.4161105,0.34362728,1.6379497,0.35219802,0.27048278,1.8278502,0.97981125,0.75930363,3.3593082,1.1212589,-0.27374906,0.26994333,0.384458,1.656577,-0.10310109,0.17434222,0.20254641,1.319383,-9.6315642,2.8003447,10.030402,14.006425,9.6403474,14.011965,1.1062893,2.0751863,1102.9255,25.850231,417.5246,79.441904,644,51.577184,9946,15.219999,13.25,12.34,14.251316,1.969999,14.391339,31.081001,203.15188,485.50683,3.9756251,56.120825,3.97927,30.450006,57.650018,57.749994,27.200012,40.868289,268
PB,1,V,8,2026-08-21 11:51:18,PB_1_V_8,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 11-51-18_PB_1_V_8,ok,3,3,289637,280752,1186.2295,1136.5054,250.12506,0.039711834,0.030228609,0.257963,0.048260453,0.039554165,0.223362,0.010878101,0.0088450451,0.05041,0.063438428,0.041332967,0.035103909,0.142261,0.036407369,0.028464602,0.146227,0.16757172,0.13721823,0.513651,0.17639216,0.13363189,0.10069582,0.868155,0.14138666,0.10993459,0.774221,0.043630564,0.033626775,0.242578,0.19937727,0.12675466,0.10707668,0.522168,0.11103732,0.085991795,0.473056,0.43261559,0.36783719,1.308571,0.46427608,0.32556331,0.26167944,1.4868509,0.31016907,0.23281858,1.7693084,1.1305337,0.87455696,3.9349745,1.216677,-0.23902074,0.26787443,0.35900922,1.497709,-0.10493816,0.17852502,0.2070826,1.18799,-9.6199025,2.772091,10.011344,14.174979,9.6279001,14.199254,1.0912748,2.0620187,1241.7828,25.83929,429.18716,83.521988,688,46.980663,11361,15.28,11.82,11.23,13.910121,3.46,12.612757,26.692001,173.34504,407.31991,3.9800245,54.700041,3.983279,36.450006,67.85,69.050012,31.399994,36.593082,233
PB,1,V,9,2026-08-21 13:20:14,PB_1_V_9,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 13-20-14_PB_1_V_9,ok,3,3,306168,284343,1253.7151,1160.124,250.12506,0.036465466,0.02796523,0.201414,0.046266492,0.037689702,0.195532,0.0091666104,0.0074950198,0.037444,0.05961833,0.042604196,0.036757746,0.131323,0.035344237,0.026901872,0.181434,0.15333656,0.12603835,0.477573,0.1630228,0.11966556,0.089862181,0.78623,0.13245985,0.10176631,0.689037,0.036978375,0.02869727,0.174892,0.18229882,0.13051562,0.11142264,0.46336,0.10688003,0.081707823,0.552357,0.40289596,0.34304728,1.183465,0.43678693,0.32919774,0.2668662,1.6587252,0.28912207,0.21687184,1.7403824,1.0614204,0.81683464,3.7093968,1.1482926,-0.22583951,0.24510052,0.33328329,1.476242,-0.099719237,0.16366592,0.19165192,1.050248,-9.6282814,2.7971449,10.026356,14.078748,9.6352014,14.089972,1.0954379,2.0902205,1273.4148,25.842383,422.66202,81.901484,672,46.547677,11599,15.37,11.62,11.55,14.05129,3.75,12.362254,26.131001,171.73412,402.94004,3.9826761,55.32694,3.983195,33.450006,58.150018,59.85,24.700012,32.042159,250
PB,1,V,10,2026-08-21 14:49:00,PB_1_V_10,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 14-49-00_PB_1_V_10,ok,3,3,294221,284146,1203.0173,1156.7908,250.12506,0.040666189,0.032120835,0.241871,0.035390902,0.027641627,0.216751,0.0090314875,0.0072576597,0.047805,0.054660979,0.022164785,0.01768751,0.088115,0.037763714,0.030365885,0.151805,0.15542608,0.12697536,0.471862,0.16147645,0.12700301,0.097535423,0.972927,0.11918379,0.091950767,0.748767,0.036226848,0.027827509,0.171981,0.17789583,0.070701444,0.055828289,0.333509,0.11520937,0.092444447,0.538327,0.40571254,0.34359071,1.231412,0.42763835,0.2157261,0.16568564,1.2949452,0.30561307,0.23885733,1.8282145,1.0699321,0.82146194,3.9770462,1.1334425,-0.20383854,0.25255989,0.32455608,1.674394,-0.08681721,0.16925943,0.19022614,0.982213,-9.6308045,2.7819554,10.024553,14.157319,9.6374758,14.162594,1.0925505,2.1040362,1264.0583,25.851431,423.48574,81.985436,671,41.450093,11566,15.33,11.59,11.38,14.021055,3.74,12.391728,28.905001,171.72607,390.97086,3.9808697,55.16779,3.986506,37.650018,65.650018,68.450006,28,35.801746,246
