pack,rpt,motion,flight,timestamp,flight_id,source_dir,total_log_duration_s,active_duration_s,attitude_rmse_x_rad,attitude_rmse_y_rad,attitude_rmse_z_rad,position_rmse_x_m,position_rmse_y_m,position_rmse_z_m,omega_rmse_x_rad_s,omega_rmse_y_rad_s,omega_rmse_z_rad_s,velocity_rmse_x_m_s,velocity_rmse_y_m_s,velocity_rmse_z_m_s,acceleration_rmse_x_m_s2,acceleration_rmse_y_m_s2,acceleration_rmse_z_m_s2
PB,2,V,1,2026-08-24 16:44:14,PB_2_V_1,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 16-44-14_PB_2_V_1,1192.3538,1144.7236,0.037695166,0.055528928,0.011223859,0.04957406,0.031589433,0.16039087,0.12337717,0.15800325,0.045599508,0.15157366,0.095914372,0.41952793,0.3753472,0.27464863,1.0977775
PB,2,V,2,2026-08-24 18:38:05,PB_2_V_2,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 18-38-05_PB_2_V_2,1197.4862,1146.7337,0.038033891,0.040670627,0.010723688,0.02893759,0.032510064,0.15946061,0.12256739,0.13148418,0.041435289,0.090314765,0.098999833,0.41835913,0.26686244,0.28953345,1.1492987
PB,2,V,3,2026-08-24 20:06:42,PB_2_V_3,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 20-06-42_PB_2_V_3,1192.9512,1150.3277,0.036564757,0.052136152,0.010267505,0.041293562,0.029970941,0.15318769,0.12087392,0.15488121,0.041318582,0.12721634,0.09174688,0.40443171,0.32911375,0.2579921,1.0751325
PB,2,V,4,2026-08-26 12:38:49,PB_2_V_4,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 12-38-49_PB_2_V_4,1179.6964,1141.8884,0.039212471,0.043270239,0.010242324,0.040542902,0.035544808,0.16373891,0.1306398,0.12998501,0.040251465,0.12447053,0.10813996,0.42639804,0.32157077,0.30542465,1.1251366
PB,2,V,5,2026-08-26 13:58:29,PB_2_V_5,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 13-58-29_PB_2_V_5,1193.7622,1152.6336,0.037972561,0.047483312,0.010408703,0.042562722,0.032597335,0.15553944,0.12369619,0.13909025,0.040994091,0.13017874,0.099773442,0.40655052,0.33036253,0.28621983,1.0749854
PB,2,V,6,2026-08-26 15:29:09,PB_2_V_6,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 15-29-09_PB_2_V_6,1199.5939,1143.675,0.036549644,0.048299783,0.009625359,0.041460352,0.029510298,0.16169165,0.12116379,0.14128251,0.03791675,0.12730656,0.091424988,0.42082298,0.32361099,0.26940045,1.1043646
PB,2,V,7,2026-08-26 16:52:54,PB_2_V_7,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 16-52-54_PB_2_V_7,1184.1862,1144.813,0.03843561,0.036856367,0.0095205863,0.025281573,0.03220354,0.16179614,0.12635494,0.12197912,0.037153434,0.080024804,0.099457644,0.42082526,0.23535976,0.28814237,1.1027907
PB,2,V,8,2026-08-26 18:35:49,PB_2_V_8,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 18-35-49_PB_2_V_8,1196.8169,1143.9415,0.036419392,0.034163842,0.0094858348,0.023392609,0.031365321,0.16197781,0.11904031,0.1148493,0.037635153,0.074265189,0.095679551,0.42197474,0.22175587,0.27142496,1.1097602
PB,2,V,9,2026-08-26 20:57:42,PB_2_V_9,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 20-57-42_PB_2_V_9,1207.1287,1144.6422,0.034869631,0.046784197,0.010285733,0.035918858,0.029263946,0.16253498,0.11498385,0.141522,0.040010938,0.11164279,0.089397628,0.42416139,0.29887729,0.25254402,1.1119953
PB,2,V,10,2026-08-26 22:09:57,PB_2_V_10,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 22-09-57_PB_2_V_10,1202.2891,1154.1366,0.031477536,0.034963146,0.010177006,0.024318056,0.025671272,0.1567384,0.1063212,0.11617515,0.040009809,0.077303572,0.079145718,0.40925555,0.22922112,0.23050186,1.0734358
