pack,rpt,motion,flight,timestamp,flight_id,source_dir,status,active_mode,settle_seconds,raw_sample_count,analysis_sample_count,total_log_duration_s,active_duration_s,sample_rate_Hz,attitude_rmse_x_rad,attitude_mae_x_rad,attitude_max_abs_x_rad,attitude_rmse_y_rad,attitude_mae_y_rad,attitude_max_abs_y_rad,attitude_rmse_z_rad,attitude_mae_z_rad,attitude_max_abs_z_rad,attitude_rmse_norm,position_rmse_x_m,position_mae_x_m,position_max_abs_x_m,position_rmse_y_m,position_mae_y_m,position_max_abs_y_m,position_rmse_z_m,position_mae_z_m,position_max_abs_z_m,position_rmse_norm,omega_rmse_x_rad_s,omega_mae_x_rad_s,omega_max_abs_x_rad_s,omega_rmse_y_rad_s,omega_mae_y_rad_s,omega_max_abs_y_rad_s,omega_rmse_z_rad_s,omega_mae_z_rad_s,omega_max_abs_z_rad_s,omega_rmse_norm,velocity_rmse_x_m_s,velocity_mae_x_m_s,velocity_max_abs_x_m_s,velocity_rmse_y_m_s,velocity_mae_y_m_s,velocity_max_abs_y_m_s,velocity_rmse_z_m_s,velocity_mae_z_m_s,velocity_max_abs_z_m_s,velocity_rmse_norm,acceleration_rmse_x_m_s2,acceleration_mae_x_m_s2,acceleration_max_abs_x_m_s2,acceleration_rmse_y_m_s2,acceleration_mae_y_m_s2,acceleration_max_abs_y_m_s2,acceleration_rmse_z_m_s2,acceleration_mae_z_m_s2,acceleration_max_abs_z_m_s2,acceleration_rmse_norm,imu_acc_mean_x_m_s2,imu_acc_std_x_m_s2,imu_acc_rms_x_m_s2,imu_acc_max_abs_x_m_s2,imu_acc_mean_y_m_s2,imu_acc_std_y_m_s2,imu_acc_rms_y_m_s2,imu_acc_max_abs_y_m_s2,imu_acc_mean_z_m_s2,imu_acc_std_z_m_s2,imu_acc_rms_z_m_s2,imu_acc_max_abs_z_m_s2,imu_acc_magnitude_mean_m_s2,imu_acc_magnitude_max_m_s2,mean_speed_m_s,max_speed_m_s,distance_m,mean_cpu_usage_pct,mean_pwm,std_pwm,max_pwm,motor_imbalance_pwm,battery_sample_count,start_voltage_V,end_voltage_V,min_voltage_V,mean_voltage_V,voltage_drop_V,mean_current_A,max_current_A,mean_power_W,max_power_W,discharged_capacity_Ah,energy_Wh,consumed_Ah_sensor_delta,start_battery_temp_C,end_battery_temp_C,max_battery_temp_C,battery_temp_rise_C,mean_cell_imbalance_mV,max_cell_imbalance_mV
PC,2,H,1,2026-08-28 14:07:46,PC_2_H_1,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 14-07-46_PC_2_H_1,ok,2,3,279490,270108,1137.0455,1093.6777,250.12506,0.19196417,0.16836409,0.874748,0.039797002,0.030610699,0.19472,0.017520948,0.013680595,0.080025,0.1968274,0.028247933,0.022594758,0.122395,0.53456417,0.46644457,1.378306,0.011844928,0.0097543253,0.072604,0.53544103,0.43118545,0.38340159,2.622698,0.1801413,0.13148881,1.155752,0.024007867,0.018958829,0.132588,0.46791896,0.089120006,0.071619506,0.375642,1.3188118,1.1884666,3.334642,0.041943374,0.033434705,0.175579,1.3224849,0.31030211,0.2429899,1.4245575,2.0215154,1.417979,7.2091921,0.17656195,0.13782087,0.84260267,2.0527996,-0.23030787,0.20386344,0.30757441,1.308929,-0.076470388,0.60887996,0.61366321,2.434981,-10.102242,0.38576373,10.109605,11.658579,10.125886,11.660401,2.0773921,3.8263353,2274.6286,25.78808,445.38183,42.404055,590,70.978075,10938,15.37,11.889999,11.79,13.891702,3.480001,13.106851,17.466002,181.3228,233.71143,3.981909,55.086658,3.983798,30.85,49.249994,49.249994,18.399994,47.329676,116
PC,2,H,2,2026-08-28 15:29:46,PC_2_H_2,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 15-29-46_PC_2_H_2,ok,2,3,278525,271335,1137.3448,1101.886,250.12506,0.19084455,0.16717443,0.579909,0.040461538,0.031784254,0.193152,0.018169233,0.014077234,0.081483,0.19593086,0.033974558,0.027318824,0.128277,0.52138822,0.45355575,1.423166,0.011358971,0.0092945177,0.065247,0.52261742,0.42617124,0.37883799,1.407802,0.17708089,0.13020797,1.066907,0.024478623,0.019058748,0.117266,0.46214583,0.098922454,0.080435648,0.374956,1.2876787,1.1565776,3.448305,0.040053829,0.031832833,0.180762,1.2920938,0.31110526,0.24793888,1.3267931,1.9796372,1.3816407,6.6894328,0.16890908,0.1312765,0.85335606,2.0110396,-0.19164471,0.20554698,0.28102893,1.368084,-0.080725835,0.6121591,0.61745884,2.255839,-10.100683,0.37461565,10.107627,11.597664,10.123785,11.605048,2.0681996,3.813271,2281.0086,25.788464,442.24326,42.041638,591,66.574076,11018,15.61,11.83,11.79,14.000206,3.78,13.01156,17.376001,181.36186,240.36866,3.9818795,55.501666,3.984346,38.950006,55.050012,55.450006,16.100006,41.017517,104
PC,2,H,3,2026-08-28 16:47:50,PC_2_H_3,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 16-47-50_PC_2_H_3,ok,2,3,279088,269397,1152.3523,1107.4012,250.12506,0.19138431,0.16695256,0.57053,0.037265221,0.028956559,0.184142,0.017597248,0.013861064,0.076247,0.19577108,0.028894204,0.023430395,0.115177,0.51397527,0.44639173,1.40481,0.010565953,0.0086228734,0.059759,0.51489523,0.42232839,0.37630837,1.452815,0.16888496,0.12501313,0.980748,0.025028561,0.019868121,0.120251,0.45553247,0.086073511,0.069244252,0.382296,1.269127,1.1391276,3.542378,0.038542463,0.030345545,0.16657,1.2726262,0.28152308,0.22023517,1.3057566,1.9832288,1.3711176,6.9488773,0.16863783,0.13149158,0.819068,2.0101966,-0.21004971,0.20614158,0.29430466,1.227652,-0.079779246,0.61135078,0.61653427,2.199921,-10.095984,0.37230595,10.102847,11.683209,10.119402,11.68575,2.0643624,3.8551662,2290.8679,25.786802,440.42049,42.794273,597,68.29167,11073,15.719999,11.95,11.809999,14.053841,3.769999,12.946131,17.765001,181.10121,234.23202,3.9816518,55.698734,3.984265,44.650018,58.150018,58.35,13.5,35.584756,104
PC,2,H,4,2026-08-28 19:00:40,PC_2_H_4,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 19-00-40_PC_2_H_4,ok,2,3,276358,265528,1147.5106,1094.1618,250.12506,0.19176742,0.16809134,1.240985,0.037556584,0.02919293,0.173657,0.017184858,0.013606455,0.076606,0.19616463,0.024814203,0.019879713,0.087217,0.5312755,0.46377412,1.447464,0.010847814,0.0088642979,0.071002,0.53196529,0.42704281,0.38097017,3.411309,0.17153649,0.12685841,0.997545,0.024286184,0.019331917,0.108342,0.4608472,0.079011159,0.063587811,0.328192,1.3120377,1.1842048,3.570847,0.03915947,0.031083112,0.171087,1.3149978,0.2864827,0.22676598,1.3138743,2.0458567,1.4242969,12.335188,0.16945399,0.13135199,0.82973035,2.0727559,-0.21498264,0.20314937,0.29578235,1.375057,-0.077729152,0.61386466,0.61876622,2.291089,-10.10005,0.37678366,10.107076,11.60411,10.123651,11.617603,2.0697317,3.780539,2269.1303,25.787651,445.34496,41.76542,596,69.473991,10941,15.429999,11.78,11.71,13.878881,3.649999,13.093452,17.481001,180.99001,231.53747,3.9789168,55.000451,3.982172,27.249994,55.35,55.450006,28.100006,43.928526,109
PC,2,H,5,2026-08-28 20:22:26,PC_2_H_5,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 20-22-26_PC_2_H_5,ok,2,3,276108,266617,1146.0447,1101.9246,250.12506,0.1906094,0.16666901,0.625749,0.040149318,0.030838529,0.229905,0.018081985,0.014172957,0.09531,0.19562942,0.025386762,0.02063319,0.088753,0.51857511,0.45173173,1.443948,0.010229622,0.0083428919,0.062991,0.51929691,0.42324782,0.37762156,1.423557,0.17747965,0.12935024,1.126318,0.024651422,0.019710549,0.115249,0.45961444,0.083106374,0.067236948,0.338035,1.2810576,1.1533234,3.515095,0.037852568,0.029716413,0.160836,1.2843084,0.30855441,0.24120218,1.5304336,2.001614,1.3838327,6.9179981,0.16721946,0.12959713,0.79070493,2.0321484,-0.23486222,0.20810226,0.31379422,1.379511,-0.078257079,0.60615021,0.61118102,2.239613,-10.092646,0.37614404,10.099653,11.499475,10.116327,11.51988,2.0681937,3.8538175,2283.7712,25.786401,441.80496,42.853574,590,72.032747,11020,15.589999,11.82,11.75,13.993563,3.769999,13.000065,17.526001,181.1315,232.15208,3.9790979,55.441462,3.981718,35.749994,58.150018,58.749994,22.400024,36.856987,109
PC,2,H,6,2026-08-31 18:47:25,PC_2_H_6,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-31 18-47-25_PC_2_H_6,ok,2,3,280459,271140,1138.1284,1094.8796,250.12506,0.19556527,0.17216461,0.832613,0.038795441,0.029572736,0.177837,0.017067817,0.01366323,0.07946,0.2001054,0.042232355,0.036023113,0.13467,0.54588738,0.4738089,1.534497,0.0095199465,0.0074944235,0.069432,0.54760134,0.42901398,0.38250025,3.145138,0.16286201,0.12356883,0.97201,0.022735411,0.017919452,0.115842,0.45944959,0.11926789,0.09668549,0.472259,1.346695,1.2065449,3.772107,0.037214712,0.029884236,0.174213,1.3524782,0.32863646,0.25913035,1.4263079,2.057564,1.4398975,7.8134118,0.16704973,0.13170266,0.76933891,2.0903294,-0.18699191,0.19026195,0.26676879,1.155284,-0.077202775,0.61035768,0.61522091,2.797642,-10.107621,0.37496921,10.114574,11.459325,10.130183,11.482278,2.0751436,3.8343317,2274.7179,25.787834,446.05537,42.115289,600,66.562171,10947,15.38,11.66,11.599999,13.870015,3.72,13.092431,17.645,180.7993,228.50602,3.9808051,54.972938,3.983658,30.450006,60.749994,61.050012,30.299988,50.497671,109
PC,2,H,7,2026-08-31 20:07:06,PC_2_H_7,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-31 20-07-06_PC_2_H_7,ok,2,3,278524,272165,1139.9897,1108.6826,250.12506,0.19084674,0.16644632,0.564441,0.039050137,0.029908933,0.195019,0.016954066,0.013542397,0.081667,0.19553729,0.044268304,0.03753727,0.13333,0.50716829,0.44023362,1.444814,0.0087413014,0.0070672677,0.060167,0.50917165,0.4180282,0.37269327,1.498794,0.15965193,0.12211584,0.987003,0.021723682,0.017128779,0.107221,0.44800472,0.12080208,0.095791923,0.422603,1.2530889,1.1230874,3.478232,0.035533778,0.028294798,0.159594,1.2593997,0.32300096,0.25454765,1.4340032,1.943417,1.3459699,6.5075685,0.16542028,0.12988886,0.86950493,1.9770086,-0.21776174,0.2024455,0.2973287,1.213233,-0.08420467,0.60234097,0.60819822,2.041931,-10.090898,0.37028383,10.097689,11.691303,10.113879,11.726918,2.0556385,3.8017902,2284.2516,25.788629,439.85809,42.816979,598,69.72456,11085,15.65,11.78,11.759999,14.031558,3.87,12.92242,17.077002,180.5121,233.75815,3.9786226,55.577151,3.981292,40.550012,58.749994,58.85,18.199982,29.98728,112
PC,2,H,8,2026-09-01 09:55:42,PC_2_H_8,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 09-55-42_PC_2_H_8,ok,2,3,281257,267960,1150.903,1090.8362,250.12506,0.19612756,0.17206297,0.566558,0.038279554,0.029409255,0.173456,0.016974873,0.013538121,0.076129,0.20054797,0.044302672,0.037394309,0.14326,0.54394492,0.47314021,1.532433,0.010613385,0.0081888294,0.075868,0.54584929,0.4304384,0.38218327,1.540702,0.15436765,0.11854806,0.978981,0.024475237,0.019202631,0.105416,0.45793627,0.12216853,0.098171702,0.406399,1.340827,1.2038071,3.804617,0.041235552,0.033095284,0.19523,1.3470124,0.31635901,0.24692703,1.6956716,2.069894,1.4611623,6.6673333,0.18414974,0.14616995,0.83615434,2.1020123,-0.19233196,0.19973928,0.27728571,1.240234,-0.10221755,0.6024191,0.61102962,1.990398,-10.098909,0.37179247,10.10575,11.711609,10.121485,11.72039,2.0750952,3.8364359,2267.0793,25.787738,445.4106,42.323027,605,69.754751,10911,15.469999,11.91,11.62,13.916267,3.559999,13.137333,17.877001,182.0638,235.2642,3.9813466,55.175616,3.983354,31.550012,63.85,63.85,32.299988,51.825039,137
PC,2,H,9,2026-09-01 11:09:13,PC_2_H_9,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 11-09-13_PC_2_H_9,ok,2,3,279432,268509,1147.8895,1097.9852,250.12506,0.19126886,0.16666975,0.565574,0.043137167,0.033150292,0.267411,0.018478476,0.014589802,0.127356,0.19694173,0.041103595,0.03470455,0.121542,0.52353992,0.45348271,1.47491,0.0084189048,0.0067206433,0.063464,0.52521846,0.42689121,0.3781364,1.521842,0.17126472,0.13245735,0.897351,0.022684043,0.017915374,0.210657,0.46052392,0.11669642,0.09367792,0.426212,1.2899736,1.1525727,3.65011,0.037632373,0.030080557,0.164074,1.2957878,0.34509048,0.2703698,1.7725588,1.9963401,1.4055625,6.7324156,0.1833943,0.14645186,0.83358845,2.0342308,-0.21524539,0.2017001,0.29498053,1.221249,-0.090794351,0.60035071,0.60717756,2.060254,-10.091528,0.37468046,10.098481,11.58821,10.114386,11.607011,2.0639475,3.8021128,2268.9979,25.787585,442.59092,44.162164,597,71.528098,10979,15.65,11.77,11.62,13.998662,3.88,13.049639,17.653002,181.81433,257.8608,3.9794193,55.443504,3.983727,41.950006,59.650018,59.650018,17.700012,48.021678,132
PC,2,H,10,2026-09-01 12:39:07,PC_2_H_10,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 12-39-07_PC_2_H_10,ok,2,3,280500,267817,1155.4109,1098.3916,250.12506,0.19286439,0.16887023,0.572107,0.04343041,0.033400716,0.226202,0.018603075,0.014678969,0.100139,0.19856724,0.042925179,0.036638714,0.146692,0.52544418,0.45601528,1.476236,0.0085752297,0.0068122973,0.06697,0.52726435,0.42767398,0.38112198,1.343214,0.17365107,0.13313122,0.948264,0.021437534,0.016993703,0.102095,0.46208148,0.12128223,0.098889966,0.439473,1.2953112,1.1601676,3.554872,0.037237407,0.029774571,0.160972,1.3015096,0.35539354,0.27838102,1.6210449,2.0135338,1.4153256,6.8979263,0.18041823,0.14385262,0.83432441,2.0526017,-0.21744397,0.19538008,0.2923273,1.217875,-0.08784979,0.60340452,0.60976602,1.930139,-10.099261,0.37021188,10.106044,11.678433,10.122179,11.70451,2.0644813,3.8972999,2272.0467,25.789206,442.98676,42.881999,595,70.351561,10984,15.61,11.79,11.71,13.980988,3.82,13.050185,18.109001,181.66348,270.71619,3.981816,55.428075,3.984888,35.950006,56.749994,57.050012,20.799988,42.466861,122
