pack,rpt,motion,flight,timestamp,active_mode,flight_id,status,detail,source_dir
PB,0,V,1,2026-08-18 08:39:50,3,PB_0_V_1,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 08-39-50_PB_0_V_1
PB,0,V,2,2026-08-18 09:40:14,3,PB_0_V_2,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 09-40-14_PB_0_V_2
PB,0,V,3,2026-08-18 10:44:36,3,PB_0_V_3,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 10-44-36_PB_0_V_3
PB,0,V,4,2026-08-18 11:46:11,3,PB_0_V_4,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 11-46-11_PB_0_V_4
PB,0,V,5,2026-08-18 13:11:09,3,PB_0_V_5,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 13-11-09_PB_0_V_5
PB,0,V,6,2026-08-18 14:11:29,3,PB_0_V_6,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 14-11-29_PB_0_V_6
PB,0,V,7,2026-08-18 15:21:22,3,PB_0_V_7,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 15-21-22_PB_0_V_7
PB,0,V,8,2026-08-18 16:19:07,3,PB_0_V_8,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 16-19-07_PB_0_V_8
PB,0,V,9,2026-08-18 18:39:16,3,PB_0_V_9,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 18-39-16_PB_0_V_9
PB,0,V,10,2026-08-18 19:34:00,3,PB_0_V_10,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 19-34-00_PB_0_V_10
PB,1,V,1,2026-08-20 14:54:10,3,PB_1_V_1,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 14-54-10_PB_1_V_1
PB,1,V,2,2026-08-20 16:06:31,3,PB_1_V_2,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 16-06-31_PB_1_V_2
PB,1,V,3,2026-08-20 17:21:11,3,PB_1_V_3,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 17-21-11_PB_1_V_3
PB,1,V,4,2026-08-20 18:29:23,3,PB_1_V_4,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 18-29-23_PB_1_V_4
PB,1,V,5,2026-08-20 20:12:52,3,PB_1_V_5,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 20-12-52_PB_1_V_5
PB,1,V,6,2026-08-20 21:11:29,3,PB_1_V_6,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 21-11-29_PB_1_V_6
PB,1,V,7,2026-08-21 10:17:11,3,PB_1_V_7,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 10-17-11_PB_1_V_7
PB,1,V,8,2026-08-21 11:51:18,3,PB_1_V_8,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 11-51-18_PB_1_V_8
PB,1,V,9,2026-08-21 13:20:14,3,PB_1_V_9,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 13-20-14_PB_1_V_9
PB,1,V,10,2026-08-21 14:49:00,3,PB_1_V_10,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 14-49-00_PB_1_V_10
PB,2,V,1,2026-08-24 16:44:14,3,PB_2_V_1,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 16-44-14_PB_2_V_1
PB,2,V,2,2026-08-24 18:38:05,3,PB_2_V_2,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 18-38-05_PB_2_V_2
PB,2,V,3,2026-08-24 20:06:42,3,PB_2_V_3,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 20-06-42_PB_2_V_3
PB,2,V,4,2026-08-26 12:38:49,3,PB_2_V_4,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 12-38-49_PB_2_V_4
PB,2,V,5,2026-08-26 13:58:29,3,PB_2_V_5,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 13-58-29_PB_2_V_5
PB,2,V,6,2026-08-26 15:29:09,3,PB_2_V_6,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 15-29-09_PB_2_V_6
PB,2,V,7,2026-08-26 16:52:54,3,PB_2_V_7,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 16-52-54_PB_2_V_7
PB,2,V,8,2026-08-26 18:35:49,3,PB_2_V_8,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 18-35-49_PB_2_V_8
PB,2,V,9,2026-08-26 20:57:42,3,PB_2_V_9,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 20-57-42_PB_2_V_9
PB,2,V,10,2026-08-26 22:09:57,3,PB_2_V_10,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 22-09-57_PB_2_V_10
PB,3,V,1,2026-09-01 15:27:52,3,PB_3_V_1,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 15-27-52_PB_3_V_1
PB,3,V,2,2026-09-01 16:45:13,3,PB_3_V_2,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 16-45-13_PB_3_V_2
PB,3,V,3,2026-09-01 19:05:17,3,PB_3_V_3,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 19-05-17_PB_3_V_3
PB,3,V,4,2026-09-01 20:24:11,3,PB_3_V_4,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 20-24-11_PB_3_V_4
PB,3,V,5,2026-09-02 11:02:24,3,PB_3_V_5,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 11-02-24_PB_3_V_5
PB,3,V,6,2026-09-02 12:14:30,3,PB_3_V_6,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 12-14-30_PB_3_V_6
PB,3,V,7,2026-09-02 13:31:57,3,PB_3_V_7,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 13-31-57_PB_3_V_7
PB,3,V,8,2026-09-02 14:54:46,3,PB_3_V_8,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 14-54-46_PB_3_V_8
PB,3,V,9,2026-09-02 16:24:19,3,PB_3_V_9,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 16-24-19_PB_3_V_9
PB,3,V,10,2026-09-02 19:31:29,3,PB_3_V_10,ok,,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 19-31-29_PB_3_V_10
PC,0,H,1,2026-08-19 10:34:58,2,PC_0_H_1,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 10-34-58_PC_0_H_1
PC,0,H,2,2026-08-19 11:51:25,2,PC_0_H_2,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 11-51-25_PC_0_H_2
PC,0,H,3,2026-08-19 12:59:12,2,PC_0_H_3,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 12-59-12_PC_0_H_3
PC,0,H,4,2026-08-19 14:00:51,2,PC_0_H_4,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 14-00-51_PC_0_H_4
PC,0,H,5,2026-08-19 14:59:53,2,PC_0_H_5,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 14-59-53_PC_0_H_5
PC,0,H,6,2026-08-19 16:17:08,2,PC_0_H_6,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 16-17-08_PC_0_H_6
PC,0,H,7,2026-08-19 17:15:39,2,PC_0_H_7,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 17-15-39_PC_0_H_7
PC,0,H,8,2026-08-19 18:15:25,2,PC_0_H_8,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 18-15-25_PC_0_H_8
PC,0,H,9,2026-08-19 19:26:20,2,PC_0_H_9,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 19-26-20_PC_0_H_9
PC,0,H,10,2026-08-19 21:23:24,2,PC_0_H_10,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 21-23-24_PC_0_H_10
PC,1,H,1,2026-08-21 10:51:07,2,PC_1_H_1,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 10-51-07_PC_1_H_1
PC,1,H,2,2026-08-21 12:22:48,2,PC_1_H_2,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 12-22-48_PC_1_H_2
PC,1,H,3,2026-08-21 14:06:08,2,PC_1_H_3,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 14-06-08_PC_1_H_3
PC,1,H,4,2026-08-21 15:37:20,2,PC_1_H_4,ok,,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 15-37-20_PC_1_H_4
