pack,rpt,motion,flight,timestamp,flight_id,source_dir,total_log_duration_s,active_duration_s,energy_Wh,mean_power_W,min_voltage_V,voltage_drop_V,max_cell_imbalance_mV,max_battery_temp_C,position_rmse_norm,attitude_rmse_norm,attitude_rmse_x_rad,attitude_rmse_y_rad,attitude_rmse_z_rad,position_rmse_x_m,position_rmse_y_m,position_rmse_z_m,omega_rmse_x_rad_s,omega_rmse_y_rad_s,omega_rmse_z_rad_s,velocity_rmse_x_m_s,velocity_rmse_y_m_s,velocity_rmse_z_m_s,acceleration_rmse_x_m_s2,acceleration_rmse_y_m_s2,acceleration_rmse_z_m_s2
PC,0,H,1,2026-08-19 10:34:58,PC_0_H_1,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 10-34-58_PC_0_H_1,993.93799,953.90052,56.386062,212.77768,12.73,2.730001,107,43.550012,0.458718,0.19469085,0.19094488,0.03468025,0.015551855,0.024134406,0.45798208,0.0095996291,0.41042054,0.14720318,0.024105087,0.078374509,1.1378981,0.037254408,0.27242245,1.8341808,0.17032307
PC,0,H,2,2026-08-19 11:51:25,PC_0_H_2,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 11-51-25_PC_0_H_2,1011.0302,964.95088,56.759347,211.74398,12.78,2.780001,88,46.450006,0.44193999,0.19269078,0.18885396,0.034956713,0.015554588,0.021160296,0.44133479,0.0093163442,0.40597119,0.14629729,0.021384354,0.073183726,1.0957156,0.035897359,0.27070607,1.7606195,0.16337491
PC,0,H,3,2026-08-19 12:59:12,PC_0_H_3,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 12-59-12_PC_0_H_3,1009.7852,958.27183,56.780746,213.35204,12.78,2.93,91,52.249994,0.44666013,0.19640408,0.19270654,0.034601526,0.015539857,0.019907769,0.44611089,0.0096968063,0.41313353,0.14797221,0.020037941,0.071030486,1.108856,0.036131728,0.26444334,1.7957793,0.16200023
PC,0,H,4,2026-08-19 14:00:51,PC_0_H_4,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 14-00-51_PC_0_H_4,1020.2705,972.63986,56.579771,209.46906,12.7,2.92,91,47.85,0.45352586,0.19567882,0.19124206,0.038033394,0.016435819,0.020954031,0.45293365,0.0098862299,0.41191637,0.16242397,0.021551705,0.075913571,1.1256413,0.037439049,0.29205589,1.7990215,0.16798041
PC,0,H,5,2026-08-19 14:59:53,PC_0_H_5,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 14-59-53_PC_0_H_5,996.47357,964.19187,56.637773,211.55445,12.7,2.950001,89,47.950006,0.45629495,0.19768418,0.19432777,0.033047246,0.014954314,0.022330942,0.45563377,0.010211818,0.41545398,0.14595688,0.021075496,0.073667082,1.1316189,0.036955388,0.25383161,1.8281999,0.16279876
PC,0,H,6,2026-08-19 16:17:08,PC_0_H_6,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 16-17-08_PC_0_H_6,1003.0649,952.59222,56.498705,213.53749,12.73,2.78,85,45.650018,0.45509723,0.19592454,0.19139687,0.038128593,0.017316873,0.027597022,0.45415444,0.0097793849,0.41237895,0.1625011,0.023540236,0.087024097,1.1277012,0.037733135,0.29215885,1.8008571,0.1708478
PC,0,H,7,2026-08-19 17:15:39,PC_0_H_7,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 17-15-39_PC_0_H_7,1000.3761,966.7835,56.481538,210.37896,12.639999,2.92,100,49.950006,0.45611008,0.19528251,0.19128529,0.035944527,0.015911836,0.022345866,0.45545572,0.0098565323,0.40902115,0.15565756,0.022191164,0.075920703,1.1303549,0.036577183,0.27587709,1.80533,0.16345363
PC,0,H,8,2026-08-19 18:15:25,PC_0_H_8,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 18-15-25_PC_0_H_8,984.88934,949.92379,56.673415,214.80824,12.73,2.85,90,45.950006,0.44769687,0.19457371,0.19105623,0.033531129,0.015235164,0.018512553,0.44719583,0.010279033,0.40913327,0.14600676,0.021099522,0.06635392,1.1117686,0.037006661,0.25423914,1.7802615,0.16236485
PC,0,H,9,2026-08-19 19:26:20,PC_0_H_9,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 19-26-20_PC_0_H_9,998.79614,958.2246,56.612965,212.74149,12.759999,2.799999,93,48.550012,0.44699379,0.19551908,0.19233431,0.031735219,0.015103005,0.023701054,0.44626695,0.0093552394,0.40922967,0.13995254,0.022760728,0.07450426,1.1088704,0.034686997,0.24606663,1.8024684,0.15684962
PC,0,H,10,2026-08-19 21:23:24,PC_0_H_10,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_0/2026-08-19 21-23-24_PC_0_H_10,1004.7549,971.81174,56.067679,207.7666,12.599999,2.69,81,49.050012,0.46517639,0.19672951,0.19365288,0.031237772,0.015008826,0.017479096,0.46475982,0.0090480913,0.41306247,0.13749594,0.021186645,0.061975236,1.1533719,0.034348325,0.23198735,1.8560005,0.15742541
PC,1,H,1,2026-08-21 10:51:07,PC_1_H_1,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 10-51-07_PC_1_H_1,1018.063,973.19296,56.355678,208.55381,12.719999,2.809999,91,60.050012,0.46613126,0.1935713,0.18913028,0.037067487,0.018043959,0.023992433,0.46542936,0.0088445392,0.4179338,0.16461625,0.026081172,0.075099999,1.1536207,0.037004772,0.26836708,1.8217022,0.17367809
PC,1,H,2,2026-08-21 12:22:48,PC_1_H_2,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 12-22-48_PC_1_H_2,1157.1209,1111.301,55.588149,180.10662,11.94,3.600001,101,66.950006,0.50978766,0.19566031,0.19140074,0.03702377,0.016672012,0.021002113,0.50926356,0.0096432548,0.4241689,0.1618488,0.025660102,0.072901572,1.2583546,0.038350884,0.27976057,1.9466651,0.17400335
PC,1,H,3,2026-08-21 14:06:08,PC_1_H_3,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 14-06-08_PC_1_H_3,1152.3843,1111.6696,55.608349,180.1222,11.87,3.639999,101,66.450006,0.5084632,0.19624956,0.19182085,0.03790027,0.016799429,0.0220085,0.50790366,0.0091830583,0.42125707,0.16174198,0.025092336,0.077638614,1.2519408,0.036765828,0.29331451,1.9654035,0.16983885
PC,1,H,4,2026-08-21 15:37:20,PC_1_H_4,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 15-37-20_PC_1_H_4,1169.4403,1110.4556,55.655713,180.53685,11.92,3.64,95,63.249994,0.50460769,0.19492719,0.19069254,0.036834028,0.016619812,0.023412567,0.50398195,0.0091087842,0.41872286,0.16073569,0.025542094,0.077803309,1.244788,0.03702663,0.27964483,1.9388072,0.17071863
PC,1,H,5,2026-08-21 17:41:04,PC_1_H_5,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 17-41-04_PC_1_H_5,1167.6237,1105.8957,55.311281,180.13511,11.82,3.650001,86,62.35,0.51522316,0.19557533,0.19195188,0.033971129,0.01581602,0.020049003,0.51475918,0.0087138874,0.42545161,0.15485048,0.025009263,0.068151768,1.2697971,0.036232285,0.25619402,1.9797511,0.16932951
PC,1,H,6,2026-08-21 18:57:46,PC_1_H_6,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 18-57-46_PC_1_H_6,1133.7157,1099.7932,55.449133,181.61783,11.759999,3.720001,92,55.550012,0.52014574,0.19777157,0.19165182,0.043788017,0.021581978,0.031946104,0.51907136,0.0097960056,0.41708158,0.18269399,0.024907202,0.0962924,1.2807865,0.037949636,0.31386681,1.9973072,0.17117403
PC,1,H,7,2026-08-23 20:02:33,PC_1_H_7,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-23 20-02-33_PC_1_H_7,1149.571,1099.4668,55.202071,180.77795,11.63,3.680001,92,57.749994,0.52564841,0.19519932,0.19055827,0.03855251,0.017436343,0.019625255,0.52519641,0.0094783152,0.42323111,0.17252321,0.02667059,0.072189881,1.2947379,0.037977027,0.29232118,1.9946193,0.17462213
PC,1,H,8,2026-08-23 21:12:00,PC_1_H_8,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-23 21-12-00_PC_1_H_8,1149.479,1106.7471,55.590882,180.83143,11.73,3.94,81,60.35,0.51193009,0.1955515,0.19060633,0.039750973,0.018151455,0.020203193,0.51144577,0.0093525653,0.41979128,0.17605353,0.025989275,0.073176562,1.2610199,0.037387774,0.29895133,1.9607534,0.16989229
PC,1,H,9,2026-08-24 12:35:56,PC_1_H_9,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-24 12-35-56_PC_1_H_9,1135.4464,1097.0062,55.212456,181.17245,11.66,3.79,118,62.050012,0.5312218,0.19513063,0.19031514,0.0392935,0.017667247,0.020363286,0.53075267,0.0091400778,0.42725263,0.17484218,0.02632842,0.073687752,1.3046609,0.037708472,0.30205322,2.0262792,0.17690673
PC,1,H,10,2026-08-24 13:48:30,PC_1_H_10,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-24 13-48-30_PC_1_H_10,1146.8412,1098.3487,55.450277,181.73735,11.7,3.910001,93,60.950006,0.52937831,0.19771251,0.1921908,0.041883442,0.019967748,0.028963755,0.52850891,0.0089903087,0.42304885,0.17787742,0.025089313,0.091448912,1.3026457,0.037023046,0.30909617,2.0072457,0.17294295
PC,2,H,1,2026-08-28 14:07:46,PC_2_H_1,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 14-07-46_PC_2_H_1,1137.0455,1093.6777,55.086658,181.3228,11.79,3.480001,116,49.249994,0.53544103,0.1968274,0.19196417,0.039797002,0.017520948,0.028247933,0.53456417,0.011844928,0.43118545,0.1801413,0.024007867,0.089120006,1.3188118,0.041943374,0.31030211,2.0215154,0.17656195
PC,2,H,2,2026-08-28 15:29:46,PC_2_H_2,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 15-29-46_PC_2_H_2,1137.3448,1101.886,55.501666,181.36186,11.79,3.78,104,55.450006,0.52261742,0.19593086,0.19084455,0.040461538,0.018169233,0.033974558,0.52138822,0.011358971,0.42617124,0.17708089,0.024478623,0.098922454,1.2876787,0.040053829,0.31110526,1.9796372,0.16890908
PC,2,H,3,2026-08-28 16:47:50,PC_2_H_3,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 16-47-50_PC_2_H_3,1152.3523,1107.4012,55.698734,181.10121,11.809999,3.769999,104,58.35,0.51489523,0.19577108,0.19138431,0.037265221,0.017597248,0.028894204,0.51397527,0.010565953,0.42232839,0.16888496,0.025028561,0.086073511,1.269127,0.038542463,0.28152308,1.9832288,0.16863783
PC,2,H,4,2026-08-28 19:00:40,PC_2_H_4,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 19-00-40_PC_2_H_4,1147.5106,1094.1618,55.000451,180.99001,11.71,3.649999,109,55.450006,0.53196529,0.19616463,0.19176742,0.037556584,0.017184858,0.024814203,0.5312755,0.010847814,0.42704281,0.17153649,0.024286184,0.079011159,1.3120377,0.03915947,0.2864827,2.0458567,0.16945399
PC,2,H,5,2026-08-28 20:22:26,PC_2_H_5,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 20-22-26_PC_2_H_5,1146.0447,1101.9246,55.441462,181.1315,11.75,3.769999,109,58.749994,0.51929691,0.19562942,0.1906094,0.040149318,0.018081985,0.025386762,0.51857511,0.010229622,0.42324782,0.17747965,0.024651422,0.083106374,1.2810576,0.037852568,0.30855441,2.001614,0.16721946
PC,2,H,6,2026-08-31 18:47:25,PC_2_H_6,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-31 18-47-25_PC_2_H_6,1138.1284,1094.8796,54.972938,180.7993,11.599999,3.72,109,61.050012,0.54760134,0.2001054,0.19556527,0.038795441,0.017067817,0.042232355,0.54588738,0.0095199465,0.42901398,0.16286201,0.022735411,0.11926789,1.346695,0.037214712,0.32863646,2.057564,0.16704973
PC,2,H,7,2026-08-31 20:07:06,PC_2_H_7,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-31 20-07-06_PC_2_H_7,1139.9897,1108.6826,55.577151,180.5121,11.759999,3.87,112,58.85,0.50917165,0.19553729,0.19084674,0.039050137,0.016954066,0.044268304,0.50716829,0.0087413014,0.4180282,0.15965193,0.021723682,0.12080208,1.2530889,0.035533778,0.32300096,1.943417,0.16542028
PC,2,H,8,2026-09-01 09:55:42,PC_2_H_8,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 09-55-42_PC_2_H_8,1150.903,1090.8362,55.175616,182.0638,11.62,3.559999,137,63.85,0.54584929,0.20054797,0.19612756,0.038279554,0.016974873,0.044302672,0.54394492,0.010613385,0.4304384,0.15436765,0.024475237,0.12216853,1.340827,0.041235552,0.31635901,2.069894,0.18414974
PC,2,H,9,2026-09-01 11:09:13,PC_2_H_9,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 11-09-13_PC_2_H_9,1147.8895,1097.9852,55.443504,181.81433,11.62,3.88,132,59.650018,0.52521846,0.19694173,0.19126886,0.043137167,0.018478476,0.041103595,0.52353992,0.0084189048,0.42689121,0.17126472,0.022684043,0.11669642,1.2899736,0.037632373,0.34509048,1.9963401,0.1833943
PC,2,H,10,2026-09-01 12:39:07,PC_2_H_10,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 12-39-07_PC_2_H_10,1155.4109,1098.3916,55.428075,181.66348,11.71,3.82,122,57.050012,0.52726435,0.19856724,0.19286439,0.04343041,0.018603075,0.042925179,0.52544418,0.0085752297,0.42767398,0.17365107,0.021437534,0.12128223,1.2953112,0.037237407,0.35539354,2.0135338,0.18041823
